,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
0,1,2015,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1.0,12.0,88434,Hotel,,65.0,6981428.0,249.43,, 47.61219025, -122.33799744, 405 Olive Way, Seattle, WA,98101,88,88434.0,7369.5,1.0,0.0
0,1,2016,NonResidential,Hotel,Mayflower Park Hotel,Downtown,1.0,12.0,88434,Hotel,,60.0,7226362.5,249.98,,47.6122,-122.33799,405 Olive Way,Seattle,WA,98101,89,88434.0,7369.5,1.0,0.0
1,2,2015,NonResidential,Hotel,Paramount Hotel,Downtown,1.0,11.0,103566,Hotel,,51.0,8354235.0,263.51,, 47.61310583, -122.33335756, 724 Pine St, Seattle, WA,98101,19,103566.0,9415.09090909091,0.8545468590077825,0.1454531409922175
1,2,2016,NonResidential,Hotel,Paramount Hotel,Downtown,1.0,11.0,103566,Hotel,,61.0,8387933.0,295.86,,47.61317,-122.33393,724 Pine Street,Seattle,WA,98101,20,103566.0,9415.09090909091,0.8545468590077825,0.1454531409922175
2,3,2015,NonResidential,Hotel,Westin Hotel,Downtown,1.0,41.0,961990,Hotel,,18.0,73130656.0,2061.48,, 47.61334897, -122.33769944, 1900 5Th Ave, Seattle, WA,98101,46,961990.0,23463.170731707316,1.0,0.0
2,3,2016,NonResidential,Hotel,5673-The Westin Seattle,Downtown,1.0,41.0,956110,Hotel,,43.0,72587024.0,2089.28,,47.61393,-122.3381,1900 5Th Avenue,Seattle,WA,98101,47,956110.0,23319.756097560974,0.7942517074395206,0.20574829256047944
3,5,2015,NonResidential,Hotel,Hotel Max,Downtown,1.0,10.0,61320,Hotel,,1.0,28229320.0,1936.34,High Outlier, 47.61421585, -122.33660889, 620 Stewart St, Seattle, WA,98101,89,61320.0,6132.0,1.0,0.0
3,5,2016,NonResidential,Hotel,Hotel Max,Downtown,1.0,10.0,61320,Hotel,,56.0,6794584.0,286.43,,47.61412,-122.33664,620 Stewart St,Seattle,WA,98101,90,61320.0,6132.0,1.0,0.0
4,8,2015,NonResidential,Hotel,Warwick Seattle Hotel,Downtown,1.0,18.0,119890,Hotel,,67.0,14829099.0,507.7,, 47.6137544, -122.3409238, 401 Lenora St, Seattle, WA,98121,35,119890.0,6660.555555555556,0.896071398782217,0.10392860121778297
4,8,2016,NonResidential,Hotel,Warwick Seattle Hotel (Id8),Downtown,1.0,18.0,175580,Hotel,,75.0,14172606.0,505.01,,47.61375,-122.34047,401 Lenora St,Seattle,WA,98121,36,175580.0,9754.444444444445,0.6468846110035311,0.3531153889964688
5,9,2015,Nonresidential COS,Other,West Precinct (Seattle Police),Downtown,1.0,2.0,97288,Police Station,,,12051984.0,304.62,, 47.6164389, -122.33676431, 810 Virginia St, Seattle, WA,98101,16,97288.0,48644.0,0.6176506866211661,0.382349313378834
5,9,2016,Nonresidential COS,Other,West Precinct,Downtown,1.0,2.0,97288,Police Station,,,12086616.0,301.81,,47.61623,-122.33657,810 Virginia St,Seattle,WA,98101,17,97288.0,48644.0,0.6176506866211661,0.382349313378834
6,10,2015,NonResidential,Hotel,Camlin Worldmark Hotel,Downtown,1.0,11.0,83008,Hotel,,25.0,6252842.0,208.46,, 47.6141141, -122.33274086, 1619 9Th Ave, Seattle, WA,98101,89,83008.0,7546.181818181818,1.0,0.0
6,10,2016,NonResidential,Hotel,Camlin,Downtown,1.0,11.0,83008,Hotel,,27.0,5758795.0,176.14,,47.6139,-122.33283,1619 9Th Avenue,Seattle,WA,98101,90,83008.0,7546.181818181818,1.0,0.0
7,11,2015,NonResidential,Other,Paramount Theater,Downtown,1.0,8.0,102761,Other - Entertainment/Public Assembly,,,6426022.0,199.99,, 47.61290234, -122.33130949, 901 Pine St, Seattle, WA,98101,89,102761.0,12845.125,1.0,0.0
7,11,2016,NonResidential,Other,Paramount Theatre,Downtown,1.0,8.0,102761,Other - Entertainment/Public Assembly,,,6298131.5,221.51,,47.61327,-122.33136,911 Pine St,Seattle,WA,98101,90,102761.0,12845.125,1.0,0.0
8,12,2015,NonResidential,Hotel,Courtyard By Marriott - Alaska Bldg Seattle,Downtown,1.0,15.0,163984,Hotel,,46.0,12633744.0,331.61,, 47.60258934, -122.33255325, 612 2Nd Ave, Seattle, WA,98104,111,163984.0,10932.266666666666,1.0,0.0
8,12,2016,NonResidential,Hotel,311Wh-Pioneer Square,Downtown,1.0,15.0,163984,Hotel,,43.0,13723820.0,392.16,,47.60294,-122.33263,612 2Nd Ave,Seattle,WA,98104,112,163984.0,10932.266666666666,1.0,0.0
10,15,2015,NonResidential,Hotel,Hotel Monaco,Downtown,1.0,11.0,153163,,,48.0,14719853.0,576.63,, 47.60712147, -122.33431932, 1101 4Th Ave, Seattle, WA,98101,46,153163.0,13923.90909090909,0.8741275634454797,0.12587243655452035
10,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,Downtown,1.0,11.0,153163,Hotel,,30.0,16016644.0,691.26,,47.60695,-122.33414,1101 4Th Avenue,Seattle,WA,98101,47,153163.0,13923.90909090909,0.8741275634454797,0.12587243655452035
11,16,2015,NonResidential,Hotel,W Seattle Hotel,Downtown,1.0,25.0,333176,Hotel,,32.0,27717026.0,723.4,, 47.60718204, -122.33347215, 1112 4Th Ave, Seattle, WA,98101,17,333176.0,13327.04,0.8164303551276202,0.18356964487237976
11,16,2016,NonResidential,Hotel,5679-W Seattle,Downtown,1.0,25.0,333176,Hotel,,36.0,26941110.0,740.97,,47.60713,-122.33323,1112 Fourth Avenue,Seattle,WA,98101,18,333176.0,13327.04,0.8164303551276202,0.18356964487237976
12,17,2015,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1.0,9.0,65009,Hotel,,39.0,6807227.0,334.87,, 47.60709939, -122.33310536, 400 Spring St, Seattle, WA,98104,87,65009.0,7223.222222222223,1.0,0.0
12,17,2016,NonResidential,Hotel,Executive Pacific Plaza,Downtown,1.0,9.0,65009,Hotel,,48.0,6596057.5,328.23,,47.60699,-122.33346,400 Spring Street,Seattle,WA,98104,88,65009.0,7223.222222222223,1.0,0.0
13,18,2015,NonResidential,Hotel,Crowne Plaza,Downtown,1.0,33.0,315952,Hotel,,56.0,22811690.0,675.34,, 47.60809326, -122.33211517, 1113 6Th Ave, Seattle, WA,98101,35,315952.0,9574.30303030303,0.8176938269104168,0.18230617308958322
